Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi,YawBrTAxp,YawBrTAyp
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9296,0.004233
0.2,-0.002841,-9.484e-07,0.0001616,1.495e-06,4.989,-1.108e-05,0.596,0.004233
0.4,-0.01066,-4.537e-06,0.0005199,6.629e-06,4.958,-6.546e-05,-0.08951,-0.005056
0.6,-0.0219,-2.929e-05,0.0008935,5.038e-05,4.911,-0.0002762,-0.727,0.003325
0.8,-0.03478,-6.939e-05,0.001222,0.0001282,4.854,-0.0004682,-1.17,0.02582
1.0,-0.04767,-8.721e-05,0.001544,0.0001648,4.792,-0.0003404,-1.453,1.11e-05
1.2,-0.05959,-5.548e-05,0.001859,7.686e-05,4.727,-7.493e-06,-1.619,-0.0465
1.4,-0.0703,4.808e-05,0.002056,-0.0002121,4.66,0.000244,-1.45,-0.06206
1.6,-0.08045,0.0001979,0.002118,-0.000646,4.59,0.0001635,-0.872,-0.03875
1.8,-0.09148,0.000337,0.002197,-0.00105,4.513,-0.0001018,-0.1731,0.04365
2.0,-0.105,0.0003961,0.002437,-0.001201,4.424,-0.0002235,0.3428,0.08906
2.2,-0.1223,0.0003085,0.002856,-0.0009198,4.319,-0.0002223,0.5419,0.06725
2.4,-0.1442,8.173e-05,0.00336,-0.0002395,4.196,-0.0001973,0.5445,0.03719
2.6,-0.1704,-0.0002171,0.003959,0.0006408,4.056,-0.0002123,0.4476,-0.01348
2.8,-0.2004,-0.0004842,0.00477,0.001428,3.901,-0.0001776,0.114,-0.0363
3.0,-0.2329,-0.000619,0.005813,0.00184,3.735,-4.126e-05,-0.4732,-0.06202
3.2,-0.266,-0.0005808,0.00696,0.001735,3.563,-4.516e-05,-1.088,-0.1018
3.4,-0.2981,-0.0003677,0.008053,0.001107,3.391,-0.0002439,-1.439,-0.06256
3.6,-0.3283,-3.467e-05,0.009084,0.0001317,3.221,-0.000446,-1.362,-0.005141
3.8,-0.3566,0.0003188,0.01015,-0.0008858,3.053,-0.0004004,-0.9931,0.05308
4.0,-0.384,0.0005862,0.01127,-0.00163,2.884,-8.716e-05,-0.4869,0.07981
4.2,-0.4118,0.0006701,0.0124,-0.001842,2.713,0.0001372,0.1169,0.03926
4.4,-0.4415,0.0005417,0.01354,-0.001444,2.533,0.0001096,0.6728,0.05007
4.6,-0.4745,0.000224,0.01482,-0.0004963,2.341,-6.491e-05,0.9765,0.05793
4.8,-0.5114,-0.0002208,0.01631,0.0008235,2.137,-0.0002223,0.8734,0.03122
5.0,-0.5515,-0.000684,0.01794,0.002202,1.921,-0.0003031,0.41,-0.00904
5.2,-0.5935,-0.001047,0.01957,0.003286,1.698,-0.0004214,-0.1166,-0.08744
5.4,-0.6358,-0.001195,0.02117,0.003745,1.473,-0.0004855,-0.535,-0.09409
5.6,-0.6769,-0.001072,0.0228,0.003424,1.25,-0.0003577,-0.8282,-0.0704
5.8,-0.7158,-0.0007119,0.02449,0.002416,1.033,-0.0001244,-0.9534,-0.07159
6.0,-0.752,-0.000209,0.02615,0.0009846,0.8222,-6.97e-06,-0.8774,-0.03427
6.2,-0.7859,0.0002939,0.02769,-0.0004575,0.6181,-0.000183,-0.5143,0.006985
6.4,-0.8182,0.0006499,0.02916,-0.001473,0.4179,-0.0004467,0.03175,0.09941
6.6,-0.8505,0.0007313,0.03063,-0.001682,0.218,-0.000512,0.5086,0.1715
6.8,-0.8839,0.0004677,0.03207,-0.0008836,0.01498,-0.0003791,0.8473,0.1226
7.0,-0.9192,-8.826e-05,0.03336,0.0007663,-0.1932,-0.0002109,0.998,0.04999
7.2,-0.9565,-0.0007868,0.03449,0.002833,-0.407,-0.0001679,0.9463,-0.02913
7.4,-0.9955,-0.001431,0.03555,0.004749,-0.6249,-0.0001725,0.6651,-0.0733
7.6,-1.035,-0.001846,0.03659,0.006008,-0.8435,-0.0001542,0.1123,-0.08978
7.8,-1.074,-0.001935,0.03755,0.006317,-1.058,-0.0002245,-0.4388,-0.1421
