Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi,YawBrTAxp,YawBrTAyp
0.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.02283,0.001799
0.2,9.999,-1.872e-06,-1.958e-06,4.384e-06,-0.0007684,-1.084e-05,-0.06382,0.0005408
0.4,9.996,-7.51e-06,-0.0001026,1.784e-05,-0.002825,-6.435e-05,-0.158,0.01657
0.6,9.991,-4.205e-05,-0.000415,9.584e-05,-0.005863,-0.0002704,-0.133,-0.003531
0.8,9.984,-6.614e-05,-0.0009215,0.0001386,-0.009851,-0.0004578,-0.03641,-0.03958
1.0,9.976,-6.787e-06,-0.001516,-2.854e-05,-0.0149,-0.000336,-0.04332,-0.02426
1.2,9.966,0.000108,-0.00215,-0.0003296,-0.02105,-2.401e-05,-0.1079,0.00965
1.4,9.954,0.0001936,-0.002916,-0.0005436,-0.02804,0.0001944,-0.1726,0.0588
1.6,9.941,0.0001499,-0.00385,-0.0004212,-0.03577,8.246e-05,-0.1025,0.04291
1.8,9.925,-2.253e-06,-0.004866,-2.003e-05,-0.04445,-0.0002003,-0.0008094,-0.01385
2.0,9.909,-0.0001293,-0.005883,0.0003221,-0.0543,-0.0003188,-0.02698,-0.03421
2.2,9.89,-0.0001576,-0.006936,0.0004104,-0.06526,-0.0002904,-0.0761,-0.03994
2.4,9.87,-9.139e-05,-0.008139,0.0002508,-0.07707,-0.0002185,-0.1122,-0.003656
2.6,9.849,-1.327e-05,-0.009489,4.665e-05,-0.08963,-0.0001756,-0.05395,0.007708
2.8,9.826,3.175e-05,-0.01086,-8.471e-05,-0.1031,-8.908e-05,-0.01052,0.000124
3.0,9.801,7.054e-05,-0.01218,-0.000197,-0.1176,7.419e-05,-0.09098,0.02145
3.2,9.775,9.256e-05,-0.01352,-0.0002594,-0.1329,6.188e-05,-0.1182,0.01314
3.4,9.748,8.069e-05,-0.01497,-0.000229,-0.1488,-0.0001763,-0.09932,0.01473
3.6,9.719,2.105e-05,-0.0165,-7.791e-05,-0.1651,-0.0004323,-0.03089,-0.009467
3.8,9.688,-3.951e-05,-0.018,7.365e-05,-0.1821,-0.0004393,-0.01282,-0.04013
4.0,9.656,-1.996e-05,-0.01948,3.009e-05,-0.1997,-0.0001663,-0.1127,-0.006239
4.2,9.623,5.036e-05,-0.021,-0.0001336,-0.2178,3.873e-05,-0.1089,0.01476
4.4,9.588,8.488e-05,-0.02258,-0.000202,-0.2364,2.153e-05,-0.04899,0.04228
4.6,9.551,1.842e-05,-0.02413,-1.862e-05,-0.2555,-0.0001103,0.00658,0.02483
4.8,9.513,-0.0001016,-0.02556,0.0002925,-0.2754,-0.0002064,0.005173,-0.03566
5.0,9.473,-0.0001436,-0.02693,0.0004031,-0.2959,-0.0002298,-0.09408,-0.03658
5.2,9.432,-7.746e-05,-0.02833,0.0002338,-0.3167,-0.0003128,-0.07327,-0.03037
5.4,9.389,3.351e-05,-0.02975,-5.817e-05,-0.3376,-0.0003624,-0.02013,0.0104
5.6,9.346,0.0001017,-0.03108,-0.0002496,-0.3586,-0.0002312,-0.02843,0.03604
5.8,9.3,0.000107,-0.03227,-0.0002794,-0.3798,-3.546e-06,-0.05776,0.006979
6.0,9.254,0.0001045,-0.03338,-0.000271,-0.401,9.951e-05,-0.1173,0.01403
6.2,9.206,8.658e-05,-0.03447,-0.0002076,-0.4219,-9.613e-05,-0.03436,0.005045
6.4,9.157,2.16e-05,-0.03548,-2.152e-05,-0.4429,-0.0003695,0.05497,0.003787
6.6,9.107,-7.934e-05,-0.03635,0.0002494,-0.4639,-0.0004279,0.01402,-0.003736
6.8,9.055,-0.0001423,-0.03708,0.0004178,-0.485,-0.0002857,-0.03756,-0.04658
7.0,9.002,-8.744e-05,-0.03777,0.0002895,-0.5058,-0.0001196,-0.08566,-0.01897
7.2,8.948,2.391e-05,-0.03841,1.723e-05,-0.5263,-9.192e-05,-0.007485,0.02112
7.4,8.893,7.298e-05,-0.03891,-0.0001052,-0.5465,-0.0001077,0.06401,0.04042
7.6,8.837,2.325e-05,-0.03922,1.504e-05,-0.5666,-8.201e-05,-0.008195,0.02433
7.8,8.779,-4.817e-05,-0.03937,0.000189,-0.5863,-0.0001313,-0.04717,-0.04531
8.0,8.721,-3.083e-05,-0.03948,0.0001447,-0.6054,-0.0002857,-0.05118,-0.03957
8.2,8.661,4.849e-05,-0.03951,-5.544e-05,-0.6238,-0.0004311,0.01759,0.008398
8.4,8.601,9.129e-05,-0.03939,-0.0001671,-0.6415,-0.000356,0.05007,0.03431
8.6,8.539,6.386e-05,-0.0391,-9.886e-05,-0.6586,-8.894e-05,-0.04711,0.03116
8.8,8.477,1.316e-05,-0.03869,4.043e-05,-0.6748,6.186e-05,-0.05362,-0.02065
9.0,8.414,1.431e-06,-0.03821,9.693e-05,-0.6902,-3.131e-05,0.01244,-0.01288
9.2,8.349,-1.149e-05,-0.0376,0.0001582,-0.705,-0.0002458,0.09162,0.02165
9.4,8.284,-7.69e-05,-0.03681,0.000339,-0.7193,-0.0003457,0.09509,0.00617
9.6,8.218,-0.0001442,-0.03588,0.0005111,-0.733,-0.0002888,-0.02995,-0.02548
9.8,8.15,-0.000123,-0.03489,0.0004527,-0.7457,-0.0002426,-0.05153,-0.0577
10.0,8.083,8.822e-06,-0.03386,0.0001144,-0.7572,-0.0002197,0.01029,-0.006033
10.2,8.014,0.0001297,-0.0327,-0.0001984,-0.7676,-0.0001541,0.05211,0.06566
10.4,7.944,0.0001252,-0.03137,-0.0001957,-0.7771,-4.474e-05,0.0406,0.04657
10.6,7.874,3.479e-05,-0.02994,3.155e-05,-0.7855,-2.706e-05,-0.0395,-0.01149
10.8,7.803,-2.948e-05,-0.02847,0.0002045,-0.7928,-0.0002143,-0.0071,-0.05654
11.0,7.731,-1.244e-05,-0.02696,0.0001799,-0.7989,-0.0004127,0.07445,-0.016
11.2,7.658,1.268e-05,-0.02534,0.0001317,-0.804,-0.0004046,0.07022,0.04436
11.4,7.585,-2.28e-05,-0.02362,0.0002298,-0.8081,-0.000202,0.01695,0.01995
11.6,7.51,-6.99e-05,-0.02188,0.0003584,-0.8111,-1.996e-05,-0.04419,-0.0234
11.8,7.435,-6.28e-05,-0.02014,0.0003547,-0.8129,-4.152e-05,0.01822,-0.03264
