Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi,YawBrTAxp,YawBrTAyp
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.02902,0.001495
0.2,2.058e-05,1.698e-06,1.752e-05,-4.222e-06,4.972e-05,9.999,-0.05074,8.27e-05
0.4,0.0001389,1.654e-05,-2.289e-05,-3.734e-05,0.0003201,9.994,-0.1056,0.01734
0.6,0.0003783,2.265e-05,-0.0002323,-4.502e-05,0.0008298,9.987,-0.03713,-0.004318
0.8,0.0006153,3.942e-05,-0.0005927,-6.907e-05,0.001225,9.977,0.09472,-0.04302
1.0,0.0006684,0.0001095,-0.0009981,-0.0002011,0.001015,9.964,0.1045,-0.02453
1.2,0.0004492,0.0001854,-0.001402,-0.0003125,-4.035e-05,9.949,0.04294,0.01363
1.4,5.216e-05,0.0001932,-0.0019,-0.0002082,-0.001713,9.932,-0.04054,0.06483
1.6,-0.0004133,5.017e-05,-0.002532,0.000315,-0.003721,9.911,-0.008152,0.04564
1.8,-0.0009558,-0.0002178,-0.00322,0.001179,-0.006055,9.888,0.05227,-0.01834
2.0,-0.001573,-0.000466,-0.003889,0.00201,-0.008675,9.863,-0.01112,-0.04065
2.2,-0.00217,-0.0005992,-0.004579,0.002551,-0.01131,9.835,-0.07966,-0.04484
2.4,-0.002594,-0.000597,-0.005409,0.002742,-0.01355,9.805,-0.1189,-0.00579
2.6,-0.00279,-0.0005391,-0.006379,0.00278,-0.01524,9.773,-0.04997,0.008978
2.8,-0.002893,-0.0005017,-0.007363,0.002863,-0.01674,9.738,0.02389,0.003557
3.0,-0.00304,-0.000487,-0.008297,0.003017,-0.01838,9.701,-0.01623,0.02834
3.2,-0.003275,-0.0005175,-0.009242,0.003307,-0.0203,9.661,-0.002161,0.02027
3.4,-0.003617,-0.0006119,-0.01029,0.003787,-0.02261,9.619,0.04236,0.01698
3.6,-0.004114,-0.0007844,-0.01141,0.004488,-0.02543,9.575,0.1078,-0.01177
3.8,-0.004854,-0.0009936,-0.0125,0.005299,-0.02901,9.528,0.1002,-0.04475
4.0,-0.005789,-0.001144,-0.01356,0.005982,-0.03318,9.479,-0.04228,-0.008841
4.2,-0.006731,-0.001235,-0.01466,0.006523,-0.03745,9.428,-0.08423,0.01426
4.4,-0.007552,-0.001331,-0.01583,0.00708,-0.04145,9.374,-0.05907,0.04026
4.6,-0.008229,-0.001496,-0.01697,0.007795,-0.0451,9.317,-0.02033,0.02228
4.8,-0.008825,-0.001694,-0.01801,0.008572,-0.04853,9.259,-0.01292,-0.037
5.0,-0.009354,-0.001797,-0.01899,0.009099,-0.05178,9.197,-0.08509,-0.0349
5.2,-0.009767,-0.001775,-0.02003,0.009299,-0.05474,9.134,-0.03004,-0.02581
5.4,-0.01013,-0.001708,-0.02112,0.009381,-0.05759,9.068,0.05561,0.016
5.6,-0.01057,-0.00171,-0.02214,0.009637,-0.06069,8.999,0.06779,0.04355
5.8,-0.01118,-0.001817,-0.02305,0.01017,-0.06428,8.929,0.04546,0.0151
6.0,-0.01198,-0.00197,-0.02392,0.01085,-0.06839,8.856,-0.02425,0.01835
6.2,-0.01287,-0.002152,-0.02478,0.01162,-0.07281,8.78,0.03177,0.002177
6.4,-0.01384,-0.002378,-0.02561,0.0125,-0.0775,8.702,0.08447,-0.005937
6.6,-0.01489,-0.002623,-0.02632,0.01341,-0.08238,8.622,0.004466,-0.01413
6.8,-0.01589,-0.002795,-0.02693,0.01411,-0.08715,8.54,-0.07755,-0.05198
7.0,-0.01672,-0.002802,-0.02753,0.01437,-0.09143,8.456,-0.1398,-0.01854
7.2,-0.01728,-0.002707,-0.02811,0.01434,-0.09499,8.37,-0.05428,0.02577
7.4,-0.01768,-0.002654,-0.02859,0.0144,-0.09807,8.281,0.046,0.04794
7.6,-0.01806,-0.002711,-0.0289,0.01472,-0.1011,8.191,0.01398,0.03406
7.8,-0.01849,-0.002815,-0.0291,0.01515,-0.1042,8.098,0.01259,-0.03565
8.0,-0.01901,-0.002858,-0.02929,0.01543,-0.1075,8.004,0.02895,-0.03348
8.2,-0.01964,-0.002862,-0.02945,0.01561,-0.1111,7.907,0.09488,0.009894
8.4,-0.02041,-0.002922,-0.02949,0.01594,-0.1152,7.809,0.1044,0.03338
8.6,-0.02131,-0.003059,-0.02939,0.01644,-0.1195,7.709,-0.02926,0.02943
8.8,-0.0222,-0.003199,-0.02923,0.01695,-0.1238,7.607,-0.07456,-0.02471
9.0,-0.02297,-0.00326,-0.02903,0.01725,-0.1278,7.503,-0.04108,-0.02057
9.2,-0.02363,-0.003275,-0.02874,0.01739,-0.1314,7.397,0.02149,0.01263
9.4,-0.0242,-0.003303,-0.02831,0.01753,-0.1347,7.29,0.02718,0.001681
9.6,-0.02466,-0.003305,-0.02777,0.01755,-0.1376,7.181,-0.081,-0.02155
9.8,-0.02495,-0.003202,-0.02721,0.01728,-0.14,7.07,-0.07495,-0.04702
10.0,-0.0251,-0.00299,-0.02663,0.01673,-0.1419,6.958,0.01648,0.007929
10.2,-0.02524,-0.002817,-0.02595,0.01626,-0.1438,6.844,0.08601,0.07917
10.4,-0.02549,-0.00281,-0.02513,0.01621,-0.1459,6.729,0.0925,0.05668
10.6,-0.0259,-0.002922,-0.02422,0.01646,-0.1483,6.612,0.01102,-0.007936
10.8,-0.0264,-0.003014,-0.0233,0.01666,-0.151,6.493,0.02329,-0.06213
11.0,-0.02696,-0.003009,-0.02235,0.0166,-0.1539,6.372,0.06819,-0.02773
11.2,-0.02756,-0.002962,-0.02131,0.01641,-0.1567,6.251,0.02514,0.03237
11.4,-0.02807,-0.002931,-0.02018,0.01622,-0.1592,6.128,-0.05737,0.01259
11.6,-0.02837,-0.00286,-0.01904,0.01589,-0.1611,6.003,-0.1325,-0.02515
11.8,-0.02841,-0.002692,-0.01791,0.01529,-0.1622,5.877,-0.06084,-0.03123
12.0,-0.02827,-0.002459,-0.01672,0.01449,-0.1626,5.749,0.05476,0.01935
12.2,-0.02811,-0.002274,-0.01544,0.01379,-0.1629,5.621,0.06126,0.05214
12.4,-0.02799,-0.002179,-0.01412,0.0133,-0.1632,5.49,0.02294,-0.001098
12.6,-0.02788,-0.002083,-0.01284,0.01279,-0.1635,5.359,-0.009079,-0.0429
12.8,-0.02781,-0.001927,-0.01161,0.01214,-0.1638,5.226,0.046,-0.01662
13.0,-0.02782,-0.001762,-0.01035,0.01147,-0.1642,5.093,0.09296,0.05176
13.2,-0.02793,-0.001694,-0.00903,0.01103,-0.1648,4.958,0.03281,0.06606
13.4,-0.02806,-0.001721,-0.007718,0.01083,-0.1655,4.822,-0.0252,-0.01344
13.6,-0.02811,-0.001706,-0.006468,0.0105,-0.1658,4.685,-0.0365,-0.07012
13.8,-0.02806,-0.001563,-0.005247,0.009815,-0.1658,4.547,0.009288,-0.04497
14.0,-0.0279,-0.001323,-0.004008,0.008854,-0.1653,4.408,0.01376,0.01677
14.2,-0.02761,-0.001076,-0.002781,0.007841,-0.1644,4.268,-0.06209,0.03005
14.4,-0.02711,-0.0008456,-0.001637,0.006847,-0.1629,4.128,-0.07886,-0.01458
14.6,-0.02643,-0.0005872,-0.000592,0.005776,-0.1607,3.986,-0.0122,-0.01783
14.8,-0.02573,-0.0003224,0.000426,0.004696,-0.1584,3.844,0.08791,0.0305
15.0,-0.02515,-0.0001341,0.001453,0.003818,-0.1564,3.701,0.1111,0.05953
15.2,-0.02474,-6.392e-05,0.002433,0.003248,-0.1547,3.557,0.04388,0.01669
15.4,-0.02443,-4.406e-05,0.003296,0.002808,-0.1533,3.412,0.01141,-0.0522
15.6,-0.02414,4.311e-05,0.004047,0.0022,-0.1519,3.267,0.01414,-0.04486
15.8,-0.02386,0.0002119,0.004754,0.001378,-0.1504,3.122,0.01328,0.0135
16.0,-0.02351,0.0003951,0.005425,0.0005058,-0.1487,2.976,-0.03384,0.03886
16.2,-0.023,0.0005537,0.006004,-0.000322,-0.1464,2.829,-0.08338,-0.002859
16.4,-0.02228,0.0007251,0.006463,-0.001201,-0.1435,2.681,-0.04061,-0.05171
16.6,-0.02142,0.0009693,0.006843,-0.002275,-0.1402,2.533,0.02333,-0.02665
16.8,-0.02052,0.001256,0.007189,-0.003461,-0.1367,2.385,0.04444,0.02318
17.0,-0.01966,0.001507,0.007466,-0.004554,-0.1331,2.237,0.006992,0.03371
17.2,-0.01877,0.001688,0.007602,-0.005455,-0.1295,2.088,-0.02203,0.004303
17.4,-0.01788,0.001818,0.0076,-0.006209,-0.1258,1.938,0.03307,-0.01305
17.6,-0.01708,0.001932,0.007527,-0.006897,-0.1224,1.789,0.07385,0.02168
17.8,-0.01641,0.002014,0.007421,-0.007478,-0.1192,1.639,0.0589,0.035
18.0,-0.01585,0.002048,0.007236,-0.007931,-0.1164,1.489,0.00413,-0.003921
18.2,-0.01528,0.00208,0.006918,-0.008381,-0.1134,1.339,-0.03652,-0.05007
18.4,-0.01461,0.002178,0.00649,-0.009007,-0.1102,1.189,-0.01582,-0.0544
18.6,-0.01385,0.002372,0.006006,-0.009888,-0.1067,1.038,-0.03086,-0.002009
18.8,-0.01295,0.002615,0.005469,-0.01089,-0.1028,0.8882,-0.06424,0.02412
19.0,-0.0119,0.002837,0.00483,-0.01184,-0.09839,0.738,-0.05835,0.007353
19.2,-0.01071,0.003012,0.004075,-0.01266,-0.0936,0.5877,-0.004019,-0.003732
19.4,-0.009521,0.003143,0.003264,-0.01335,-0.08881,0.4375,0.08343,0.003
19.6,-0.008492,0.00324,0.00244,-0.01392,-0.08444,0.2874,0.07913,0.02715
19.8,-0.007649,0.003292,0.001569,-0.01435,-0.08058,0.1375,0.02271,0.01493
20.0,-0.006912,0.003297,0.0005945,-0.01463,-0.07703,-0.01227,-0.002093,-0.01555
20.2,-0.006205,0.003279,-0.0004771,-0.01483,-0.0736,-0.1617,-0.002746,-0.01225
20.4,-0.005512,0.003268,-0.001576,-0.01504,-0.07023,-0.3108,0.01627,-0.001557
20.6,-0.004828,0.003289,-0.002673,-0.01532,-0.0669,-0.4595,-0.0254,0.003897
20.8,-0.004081,0.003347,-0.003804,-0.01569,-0.0634,-0.6079,-0.06401,-0.02021
21.0,-0.003207,0.003432,-0.005,-0.01613,-0.05957,-0.7561,-0.03344,-0.03971
