Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi,YawBrTAxp,YawBrTAyp
0.0,0.32,0.0,-0.01,0.0,-0.096,0.0,-5.723,0.02697
0.2,0.3271,-1.083e-05,-0.009947,2.51e-05,-0.07486,-8.998e-06,-4.552,0.01481
0.4,0.3461,-4.042e-05,-0.009865,9.372e-05,-0.01841,-5.264e-05,-2.476,0.1077
0.6,0.3709,-0.0002043,-0.009839,0.0004503,0.05572,-0.0002256,0.572,-0.1037
0.8,0.3938,-0.0001949,-0.009867,0.0003258,0.1251,-0.0003982,3.548,-0.3955
1.0,0.4079,0.0003728,-0.009891,-0.001172,0.1692,-0.0003267,4.688,-0.1333
1.2,0.4093,0.001081,-0.009887,-0.002929,0.1761,-9.412e-05,4.803,0.3152
1.4,0.3976,0.001187,-0.009954,-0.003015,0.1444,8.415e-05,3.216,0.6431
1.6,0.3764,0.0001791,-0.0101,-0.0001781,0.08352,2.669e-05,1.173,0.3561
1.8,0.3514,-0.001414,-0.0102,0.004144,0.01004,-0.0001476,-0.6025,-0.2988
2.0,0.3292,-0.00241,-0.01016,0.006858,-0.05695,-0.000187,-2.661,-0.5161
2.2,0.3154,-0.002267,-0.01005,0.006476,-0.1004,-0.0001396,-3.791,-0.4215
2.4,0.3136,-0.001148,-0.01001,0.003385,-0.1099,-0.0001011,-4.394,-0.1624
2.6,0.3242,0.0002891,-0.01005,-0.0006886,-0.08339,-9.713e-05,-3.784,-0.009938
2.8,0.3443,0.001542,-0.01004,-0.004318,-0.02894,-4.738e-05,-1.724,0.107
3.0,0.3683,0.00236,-0.009901,-0.006667,0.03718,9.31e-05,0.618,0.4308
3.2,0.389,0.002323,-0.009703,-0.006579,0.09488,0.0001075,3.202,0.5095
3.4,0.4003,0.001334,-0.009574,-0.003799,0.126,-7.1e-05,4.602,0.2502
3.6,0.3986,-0.0002585,-0.00954,0.0006843,0.12,-0.0002595,4.638,-0.1912
3.8,0.3842,-0.001697,-0.009523,0.004824,0.07709,-0.0002392,3.48,-0.4113
4.0,0.361,-0.002365,-0.009483,0.006951,0.008362,1.484e-05,0.8781,-0.1432
4.2,0.3356,-0.002418,-0.009432,0.007336,-0.06733,0.0002082,-1.682,0.0553
4.4,0.3152,-0.002187,-0.009402,0.006745,-0.1294,0.0002101,-3.85,-0.004144
4.6,0.3054,-0.001768,-0.009349,0.005401,-0.1618,0.000139,-4.7,-0.2395
4.8,0.3084,-0.0009192,-0.00922,0.002749,-0.1575,9.954e-05,-3.852,-0.3384
5.0,0.3226,0.0005305,-0.009069,-0.001495,-0.1207,8.559e-05,-2.307,-0.06509
5.2,0.3434,0.002087,-0.008961,-0.005938,-0.06419,-2.546e-05,-0.04466,0.1667
5.4,0.3645,0.003066,-0.008896,-0.008692,-0.005895,-0.0001302,1.856,0.3346
5.6,0.3798,0.002951,-0.008801,-0.008345,0.03667,-2.792e-05,3.208,0.4209
5.8,0.3851,0.001682,-0.008646,-0.004707,0.05046,0.0002212,4.011,0.3982
6.0,0.3784,-0.0003418,-0.00852,0.001151,0.03024,0.0003919,3.496,0.2922
6.2,0.3614,-0.002629,-0.008466,0.007762,-0.01986,0.0003013,2.319,-0.1368
6.4,0.3385,-0.004437,-0.008427,0.01298,-0.08763,0.0001193,0.3085,-0.5535
6.6,0.3157,-0.005042,-0.008321,0.01475,-0.1558,0.0001151,-1.945,-0.6648
6.8,0.2989,-0.004107,-0.008161,0.01216,-0.207,0.0002502,-3.475,-0.4836
7.0,0.2926,-0.00188,-0.008052,0.005909,-0.2286,0.0003573,-4.335,-0.06963
7.2,0.2983,0.0007062,-0.008005,-0.001461,-0.2158,0.0003374,-3.686,0.1874
7.4,0.3139,0.002718,-0.007932,-0.007362,-0.174,0.0003152,-1.971,0.3354
7.6,0.3347,0.003625,-0.007774,-0.01021,-0.1173,0.0003932,0.288,0.4232
7.8,0.354,0.00336,-0.007584,-0.009665,-0.06399,0.0004101,2.697,0.3539
8.0,0.366,0.002198,-0.007476,-0.006369,-0.0315,0.0002857,3.97,0.2682
8.2,0.3669,0.0003389,-0.007464,-0.0009362,-0.0305,0.0001505,4.177,0.09842
8.4,0.3564,-0.001906,-0.007478,0.005636,-0.06239,0.0002349,3.075,-0.03089
8.6,0.3374,-0.00403,-0.007476,0.01183,-0.119,0.0005469,1.025,-0.1326
8.8,0.3152,-0.005415,-0.007463,0.01586,-0.1854,0.0007679,-0.9414,-0.3698
9.0,0.2958,-0.005488,-0.007465,0.01612,-0.2442,0.0007392,-2.735,-0.5214
9.2,0.2842,-0.004169,-0.007443,0.01234,-0.2806,0.0005819,-3.561,-0.5153
9.4,0.2834,-0.001787,-0.007367,0.005429,-0.2863,0.0004959,-3.485,-0.2718
9.6,0.293,0.001057,-0.007277,-0.00286,-0.2617,0.0005136,-2.674,0.1114
9.8,0.31,0.003583,-0.007224,-0.01022,-0.2152,0.0004765,-0.9542,0.3719
10.0,0.3294,0.005037,-0.00721,-0.01445,-0.1612,0.0004181,0.8883,0.6071
10.2,0.3457,0.004732,-0.007169,-0.01365,-0.1158,0.0004917,2.683,0.6945
