Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,11.27,0.0,-0.012,0.0,-0.138,0.0
0.2,11.27,-1.876e-06,-0.01198,4.414e-06,-0.1386,-1.083e-05
0.4,11.26,-7.501e-06,-0.01202,1.794e-05,-0.1401,-6.426e-05
0.6,11.26,-4.197e-05,-0.01223,9.62e-05,-0.1423,-0.0002698
0.8,11.25,-6.545e-05,-0.01258,0.0001379,-0.1453,-0.0004564
1.0,11.24,-4.865e-06,-0.01299,-3.239e-05,-0.1494,-0.0003343
1.2,11.23,0.0001104,-0.01339,-0.0003351,-0.1546,-2.29e-05
1.4,11.22,0.0001944,-0.01388,-0.0005449,-0.1606,0.0001946
1.6,11.21,0.0001469,-0.0145,-0.0004121,-0.1674,8.271e-05
1.8,11.19,-9.175e-06,-0.01518,2.285e-07,-0.175,-0.0001987
2.0,11.18,-0.0001375,-0.01582,0.0003462,-0.1837,-0.0003157
2.2,11.16,-0.0001636,-0.01647,0.0004283,-0.1931,-0.0002864
2.4,11.14,-9.241e-05,-0.01724,0.0002545,-0.2031,-0.0002145
2.6,11.11,-8.298e-06,-0.01814,3.296e-05,-0.2135,-0.0001719
2.8,11.09,4.16e-05,-0.01902,-0.0001127,-0.2246,-8.558e-05
3.0,11.07,8.211e-05,-0.01985,-0.0002306,-0.2365,7.726e-05
3.2,11.04,0.0001014,-0.02066,-0.0002857,-0.2491,6.455e-05
3.4,11.01,8.32e-05,-0.02158,-0.0002374,-0.2623,-0.0001733
3.6,10.98,1.654e-05,-0.02255,-6.577e-05,-0.2761,-0.0004283
3.8,10.95,-4.895e-05,-0.02349,0.0001007,-0.2906,-0.0004339
4.0,10.92,-3.12e-05,-0.02441,6.29e-05,-0.3059,-0.0001603
4.2,10.88,3.977e-05,-0.02536,-0.0001024,-0.3215,4.451e-05
4.4,10.85,7.691e-05,-0.02638,-0.0001787,-0.3374,2.707e-05
