Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,2.779,0.0,-0.02,0.0,4.793,0.0
0.2,2.776,-1.697e-06,-0.0198,3.273e-06,4.782,-1.113e-05
0.4,2.769,-7.778e-06,-0.01931,1.452e-05,4.752,-6.543e-05
0.6,2.758,-4.407e-05,-0.01872,8.506e-05,4.706,-0.0002761
0.8,2.745,-9.14e-05,-0.01808,0.0001757,4.65,-0.0004661
1.0,2.732,-8.205e-05,-0.01736,0.0001382,4.588,-0.0003321
1.2,2.721,9.712e-06,-0.01655,-0.0001014,4.524,7.879e-06
1.4,2.71,0.0001602,-0.01577,-0.0004979,4.458,0.0002602
1.6,2.7,0.0002736,-0.01502,-0.0008207,4.389,0.0001678
1.8,2.689,0.0002877,-0.01417,-0.0008895,4.312,-0.0001187
2.0,2.675,0.0002236,-0.01309,-0.0007166,4.224,-0.0002573
2.2,2.658,0.0001097,-0.01176,-0.0003695,4.12,-0.0002569
2.4,2.637,-3.323e-05,-0.01028,8.478e-05,3.999,-0.0002165
2.6,2.611,-0.0002181,-0.008674,0.0006479,3.861,-0.0002094
2.8,2.581,-0.0004028,-0.006822,0.00119,3.708,-0.0001549
3.0,2.549,-0.000472,-0.004716,0.001405,3.545,-3.314e-06
3.2,2.517,-0.0003713,-0.002484,0.001134,3.375,2.539e-07
3.4,2.485,-0.0001442,-0.0002852,0.0004891,3.205,-0.0002025
3.6,2.455,8.632e-05,0.001873,-0.000193,3.037,-0.0004208
3.8,2.427,0.0002522,0.004086,-0.000698,2.871,-0.0003975
4.0,2.4,0.0003807,0.006368,-0.001055,2.705,-0.0001033
4.2,2.372,0.0004521,0.008665,-0.001208,2.535,0.0001101
4.4,2.343,0.0003847,0.01098,-0.0009533,2.357,8.018e-05
4.6,2.31,0.0001007,0.0134,-0.0001071,2.168,-8.726e-05
4.8,2.273,-0.0003352,0.01602,0.001149,1.967,-0.0002291
5.0,2.234,-0.000718,0.01874,0.002274,1.754,-0.00029
5.2,2.192,-0.0009134,0.02141,0.002888,1.535,-0.0003919
5.4,2.15,-0.0009129,0.02399,0.002941,1.313,-0.0004465
5.6,2.11,-0.0007672,0.02656,0.002548,1.094,-0.0003137
5.8,2.071,-0.0004876,0.02913,0.001751,0.8791,-8.092e-05
6.0,2.035,-6.793e-05,0.03161,0.0005732,0.6714,2.78e-05
6.2,2.002,0.0003507,0.03394,-0.0005858,0.4702,-0.0001611
6.4,1.969,0.0005461,0.03616,-0.001124,0.2728,-0.0004299
6.6,1.937,0.0003973,0.03832,-0.0007059,0.0758,-0.0004856
6.8,1.904,-1.082e-05,0.0404,0.0004625,-0.1242,-0.0003396
7.0,1.869,-0.0004719,0.04227,0.001844,-0.3292,-0.0001724
7.2,1.832,-0.0008908,0.04391,0.003148,-0.5396,-0.0001432
7.4,1.793,-0.001266,0.04541,0.004309,-0.7541,-0.0001574
7.6,1.754,-0.001543,0.0468,0.005139,-0.9691,-0.0001327
7.8,1.716,-0.001582,0.04804,0.005268,-1.18,-0.000191
8.0,1.68,-0.001284,0.04902,0.004454,-1.383,-0.0003746
8.2,1.648,-0.0007695,0.04977,0.003022,-1.574,-0.0005661
8.4,1.619,-0.0002743,0.05037,0.001609,-1.753,-0.0005447
8.6,1.594,5.319e-05,0.05083,0.0006469,-1.923,-0.0003258
8.8,1.57,0.0001793,0.05108,0.0002829,-2.085,-0.0002026
9.0,1.547,9.209e-05,0.05103,0.0005805,-2.243,-0.0002916
9.2,1.523,-0.0002902,0.05074,0.001733,-2.4,-0.0004535
9.4,1.498,-0.000973,0.05023,0.003705,-2.558,-0.000456
9.6,1.472,-0.001734,0.04945,0.005879,-2.717,-0.0002917
9.8,1.446,-0.002252,0.04834,0.007392,-2.873,-0.0001725
10.0,1.422,-0.002337,0.04694,0.007712,-3.024,-0.0001468
10.2,1.399,-0.002056,0.04536,0.006975,-3.165,-0.0001428
10.4,1.38,-0.001583,0.04369,0.005628,-3.294,-0.0001351
10.6,1.364,-0.001021,0.0419,0.003983,-3.409,-0.0002367
10.8,1.353,-0.0004557,0.03993,0.002336,-3.509,-0.0005345
11.0,1.344,-4.643e-05,0.0378,0.001146,-3.597,-0.000809
11.2,1.338,1.506e-06,0.03556,0.0009693,-3.676,-0.0008104
11.4,1.332,-0.000379,0.03316,0.00199,-3.749,-0.0005417
11.6,1.326,-0.001018,0.03052,0.003776,-3.819,-0.000244
11.8,1.32,-0.001685,0.02761,0.005705,-3.886,-0.0001322
12.0,1.313,-0.002242,0.0245,0.00735,-3.951,-0.0001228
12.2,1.306,-0.002635,0.02131,0.008494,-4.011,-9.529e-05
12.4,1.302,-0.00277,0.01802,0.00885,-4.063,-8.417e-05
12.6,1.3,-0.002502,0.01463,0.008041,-4.102,-0.0001777
12.8,1.302,-0.001829,0.01119,0.006089,-4.126,-0.0003635
13.0,1.308,-0.0009763,0.007801,0.003617,-4.135,-0.0004682
13.2,1.318,-0.0002789,0.004506,0.001542,-4.129,-0.0004572
13.4,1.33,3.512e-05,0.001241,0.0005231,-4.111,-0.0004765
13.6,1.344,-6.715e-05,-0.002064,0.0007028,-4.085,-0.000594
13.8,1.359,-0.0005374,-0.005394,0.001963,-4.053,-0.0006933
14.0,1.373,-0.00129,-0.008713,0.004035,-4.018,-0.0005682
14.2,1.387,-0.002147,-0.01204,0.006401,-3.981,-0.0002492
14.4,1.401,-0.002827,-0.0154,0.008272,-3.939,2.713e-05
14.6,1.416,-0.003058,-0.01877,0.008897,-3.891,0.000122
14.8,1.433,-0.002777,-0.02201,0.008075,-3.834,5.923e-05
15.0,1.453,-0.002135,-0.02504,0.006188,-3.765,-5.827e-05
15.2,1.476,-0.001353,-0.02788,0.003839,-3.683,-0.0002375
15.4,1.503,-0.0006079,-0.03058,0.00155,-3.586,-0.0005004
15.6,1.533,-2.451e-05,-0.03315,-0.0002743,-3.478,-0.0007054
15.8,1.565,0.000243,-0.03555,-0.001179,-3.36,-0.0007033
16.0,1.598,6.796e-05,-0.0378,-0.0008122,-3.238,-0.0004968
16.2,1.631,-0.0005338,-0.03998,0.0007811,-3.113,-0.0002824
16.4,1.663,-0.001379,-0.04212,0.003086,-2.988,-0.0002156
16.6,1.694,-0.002194,-0.04417,0.005329,-2.862,-0.0002177
16.8,1.725,-0.002749,-0.04605,0.006835,-2.735,-0.0001755
17.0,1.756,-0.002894,-0.04779,0.007151,-2.604,-8.861e-05
17.2,1.79,-0.002555,-0.04941,0.006063,-2.465,-5.987e-05
17.4,1.826,-0.001778,-0.05092,0.003709,-2.318,-0.0001279
17.6,1.865,-0.0007531,-0.05226,0.000646,-2.161,-0.000195
17.8,1.906,0.0001978,-0.05341,-0.002221,-1.995,-0.000236
18.0,1.948,0.0007657,-0.05443,-0.004021,-1.823,-0.0003154
18.2,1.992,0.0007956,-0.05541,-0.0043,-1.648,-0.0004603
18.4,2.035,0.0003195,-0.05635,-0.003126,-1.473,-0.000567
18.6,2.077,-0.0004793,-0.05719,-0.0009922,-1.3,-0.0004842
18.8,2.117,-0.001362,-0.05793,0.001424,-1.132,-0.0002617
19.0,2.156,-0.002088,-0.05861,0.003421,-0.9672,-8.237e-05
19.2,2.194,-0.002456,-0.05923,0.004399,-0.8041,-5.081e-05
19.4,2.232,-0.00236,-0.05975,0.004032,-0.6406,-0.0001133
19.6,2.272,-0.001803,-0.0601,0.002319,-0.4745,-0.0001518
19.8,2.312,-0.0009172,-0.06036,-0.0003602,-0.3043,-0.000173
20.0,2.355,6.716e-05,-0.06059,-0.003352,-0.1298,-0.0002195
20.2,2.398,0.0008957,-0.06081,-0.005914,0.0479,-0.0002479
20.4,2.442,0.001348,-0.06095,-0.007396,0.2259,-0.000195
20.6,2.485,0.001311,-0.06099,-0.00745,0.4011,-8.449e-05
20.8,2.527,0.0007867,-0.06097,-0.006083,0.5706,-6.606e-05
21.0,2.567,-9.732e-05,-0.06088,-0.003667,0.7328,-0.0002044
21.2,2.604,-0.001092,-0.06071,-0.0009252,0.8869,-0.0003711
21.4,2.639,-0.001883,-0.06037,0.001248,1.034,-0.0004155
21.6,2.673,-0.002179,-0.0599,0.002036,1.175,-0.0003148
21.8,2.706,-0.001863,-0.05934,0.00109,1.314,-0.0001885
22.0,2.74,-0.001044,-0.05873,-0.00131,1.451,-0.0001078
22.2,2.775,1.524e-05,-0.05803,-0.004442,1.589,-2.967e-05
22.4,2.81,0.001018,-0.05719,-0.007454,1.727,5.572e-05
22.6,2.845,0.001726,-0.05625,-0.009641,1.862,9.083e-05
22.8,2.88,0.001969,-0.05526,-0.01049,1.993,2.138e-05
23.0,2.913,0.001664,-0.05417,-0.009764,2.117,-8.75e-05
23.2,2.943,0.0008924,-0.05291,-0.007669,2.232,-0.0001193
23.4,2.971,-0.0001038,-0.05144,-0.004881,2.335,-9.274e-05
23.6,2.996,-0.001006,-0.0498,-0.002303,2.428,-0.0001165
23.8,3.018,-0.00157,-0.04801,-0.0006601,2.512,-0.0002395
24.0,3.04,-0.001685,-0.04606,-0.0003143,2.589,-0.0003593
24.2,3.06,-0.001319,-0.04394,-0.001378,2.661,-0.0003362
24.4,3.081,-0.0005097,-0.04169,-0.00373,2.73,-0.0001796
24.6,3.102,0.0005803,-0.03938,-0.006889,2.796,1.441e-05
24.8,3.123,0.001631,-0.03702,-0.009946,2.859,0.0001793
25.0,3.143,0.002274,-0.03454,-0.01187,2.917,0.0003079
25.2,3.161,0.002301,-0.0319,-0.01204,2.968,0.0003762
