Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,4.747,0.0,-0.037,0.0,-0.299,10.0
0.2,4.747,4.127e-06,-0.03689,-1.678e-06,-0.2986,9.999
0.4,4.747,2.501e-05,-0.03666,-2.304e-05,-0.2975,9.994
0.6,4.748,3.747e-05,-0.03643,9.928e-07,-0.2958,9.987
0.8,4.748,5.675e-05,-0.03617,4.092e-05,-0.294,9.976
1.0,4.749,0.0001205,-0.03579,1.891e-05,-0.293,9.964
1.2,4.748,0.0001761,-0.03525,7.778e-05,-0.293,9.949
1.4,4.748,0.0001475,-0.03464,0.0004197,-0.2938,9.931
1.6,4.747,-4.515e-05,-0.03402,0.00124,-0.2951,9.91
1.8,4.746,-0.000368,-0.03331,0.002437,-0.2968,9.887
2.0,4.746,-0.0006678,-0.03245,0.003611,-0.2985,9.862
2.2,4.745,-0.0008442,-0.03147,0.004488,-0.2997,9.834
2.4,4.745,-0.000876,-0.03051,0.005006,-0.3001,9.804
2.6,4.745,-0.0008461,-0.02957,0.005369,-0.2995,9.772
2.8,4.745,-0.0008368,-0.02854,0.005793,-0.2981,9.737
3.0,4.745,-0.0008586,-0.02736,0.006328,-0.2966,9.7
3.2,4.745,-0.000941,-0.02611,0.007062,-0.2954,9.661
3.4,4.745,-0.001104,-0.0249,0.008053,-0.2947,9.619
3.6,4.745,-0.001358,-0.0237,0.009321,-0.2948,9.575
3.8,4.744,-0.001655,-0.02244,0.01074,-0.296,9.529
4.0,4.743,-0.001896,-0.02112,0.01205,-0.2979,9.481
4.2,4.741,-0.002074,-0.01982,0.01323,-0.3,9.431
4.4,4.741,-0.002252,-0.01859,0.01443,-0.3015,9.378
4.6,4.74,-0.002487,-0.01735,0.01576,-0.3023,9.323
4.8,4.739,-0.002745,-0.01601,0.01715,-0.3024,9.265
5.0,4.739,-0.002905,-0.01466,0.01828,-0.3018,9.206
5.2,4.739,-0.002943,-0.0134,0.01911,-0.3007,9.143
5.4,4.739,-0.002949,-0.01224,0.01986,-0.2994,9.079
5.6,4.739,-0.003037,-0.01107,0.02084,-0.2985,9.013
5.8,4.738,-0.003247,-0.009854,0.02217,-0.2983,8.945
6.0,4.738,-0.003517,-0.008678,0.02368,-0.299,8.874
6.2,4.737,-0.003822,-0.007603,0.02532,-0.3002,8.801
6.4,4.736,-0.004161,-0.006598,0.02706,-0.302,8.726
6.6,4.734,-0.004501,-0.005601,0.02879,-0.304,8.649
6.8,4.733,-0.004749,-0.004635,0.03026,-0.3056,8.57
7.0,4.733,-0.004817,-0.003798,0.03126,-0.3065,8.489
7.2,4.732,-0.004777,-0.003095,0.03196,-0.3064,8.407
7.4,4.732,-0.004781,-0.00244,0.03276,-0.3054,8.322
7.6,4.732,-0.004904,-0.001777,0.03384,-0.3042,8.236
7.8,4.732,-0.005088,-0.001164,0.03509,-0.3031,8.147
8.0,4.731,-0.005227,-0.0006967,0.03624,-0.3026,8.057
8.2,4.731,-0.005337,-0.0003618,0.03733,-0.3027,7.965
8.4,4.73,-0.005505,-7.936e-05,0.03856,-0.3038,7.872
8.6,4.729,-0.005743,0.0001676,0.03996,-0.3055,7.778
8.8,4.728,-0.005971,0.0003178,0.04133,-0.3073,7.682
9.0,4.727,-0.006099,0.0003281,0.04243,-0.3089,7.583
9.2,4.726,-0.006159,0.0002586,0.04331,-0.3099,7.484
9.4,4.726,-0.006209,0.0001672,0.04411,-0.3104,7.383
9.6,4.725,-0.006222,1.126e-05,0.04478,-0.3102,7.281
9.8,4.725,-0.006131,-0.0002863,0.04515,-0.3094,7.177
10.0,4.725,-0.005946,-0.0007282,0.04527,-0.3082,7.072
10.2,4.725,-0.005818,-0.00122,0.04552,-0.3071,6.965
10.4,4.725,-0.005868,-0.001712,0.04622,-0.3066,6.858
10.6,4.725,-0.006043,-0.002264,0.04724,-0.307,6.748
10.8,4.724,-0.00619,-0.002934,0.04819,-0.308,6.638
11.0,4.723,-0.006219,-0.003702,0.04881,-0.3096,6.526
11.2,4.722,-0.006176,-0.004493,0.0492,-0.3115,6.413
11.4,4.722,-0.006118,-0.005304,0.04949,-0.3131,6.299
11.6,4.721,-0.005995,-0.0062,0.04957,-0.3139,6.184
11.8,4.721,-0.005762,-0.007184,0.04931,-0.3137,6.068
12.0,4.721,-0.005458,-0.008186,0.04884,-0.3127,5.95
12.2,4.722,-0.005207,-0.009148,0.04845,-0.3115,5.832
12.4,4.722,-0.005054,-0.01011,0.04828,-0.3104,5.712
12.6,4.722,-0.004913,-0.01116,0.04813,-0.3097,5.591
12.8,4.722,-0.00472,-0.01227,0.04784,-0.3094,5.47
13.0,4.722,-0.004518,-0.01337,0.04751,-0.3098,5.348
13.2,4.722,-0.004396,-0.01441,0.04737,-0.3108,5.224
13.4,4.721,-0.004341,-0.01545,0.04735,-0.3122,5.101
13.6,4.721,-0.004207,-0.01654,0.04709,-0.3135,4.976
13.8,4.721,-0.003907,-0.01763,0.04636,-0.3144,4.85
14.0,4.721,-0.00348,-0.01865,0.04524,-0.3148,4.724
14.2,4.721,-0.003031,-0.01963,0.044,-0.3145,4.597
14.4,4.722,-0.002599,-0.02062,0.04276,-0.3135,4.47
14.6,4.722,-0.002152,-0.02162,0.04146,-0.3119,4.342
14.8,4.723,-0.001715,-0.02255,0.04018,-0.3104,4.213
15.0,4.724,-0.001367,-0.02337,0.03912,-0.3094,4.084
15.2,4.724,-0.001135,-0.02411,0.03834,-0.3093,3.955
15.4,4.724,-0.0009384,-0.02485,0.03764,-0.3099,3.825
15.6,4.724,-0.0006461,-0.02557,0.03667,-0.3109,3.694
15.8,4.725,-0.0002363,-0.02619,0.03537,-0.3121,3.564
16.0,4.725,0.000226,-0.02671,0.0339,-0.3131,3.433
16.2,4.725,0.0006974,-0.02718,0.03235,-0.3135,3.302
16.4,4.726,0.001206,-0.02761,0.03066,-0.313,3.17
16.6,4.727,0.001798,-0.02797,0.02872,-0.3119,3.038
16.8,4.728,0.00243,-0.0282,0.02667,-0.3106,2.906
17.0,4.729,0.003011,-0.02832,0.02472,-0.3092,2.774
17.2,4.73,0.003503,-0.02842,0.023,-0.3079,2.642
17.4,4.731,0.003933,-0.02848,0.02145,-0.307,2.509
17.6,4.732,0.004346,-0.02843,0.01994,-0.3066,2.377
17.8,4.733,0.004742,-0.02825,0.01849,-0.3069,2.245
18.0,4.733,0.005122,-0.02797,0.01706,-0.3078,2.112
18.2,4.734,0.005543,-0.02767,0.0155,-0.3087,1.98
18.4,4.734,0.00607,-0.0273,0.01363,-0.3093,1.847
18.6,4.735,0.006724,-0.02684,0.0114,-0.3093,1.715
18.8,4.736,0.007437,-0.02628,0.009004,-0.3087,1.584
19.0,4.738,0.008124,-0.02567,0.006656,-0.3074,1.452
19.2,4.74,0.008748,-0.02504,0.00447,-0.3055,1.32
19.4,4.741,0.009306,-0.02433,0.002469,-0.3037,1.189
19.6,4.743,0.009809,-0.0235,0.0006309,-0.3023,1.058
19.8,4.744,0.01026,-0.0226,-0.001038,-0.3018,0.927
20.0,4.745,0.01066,-0.02169,-0.002575,-0.3018,0.7967
20.2,4.746,0.01106,-0.02078,-0.004096,-0.3023,0.6667
20.4,4.747,0.01149,-0.01981,-0.005706,-0.3029,0.5373
20.6,4.748,0.01199,-0.01876,-0.007491,-0.3034,0.4083
20.8,4.75,0.01256,-0.01768,-0.009454,-0.3037,0.2798
21.0,4.751,0.01318,-0.01661,-0.01155,-0.3032,0.1516
21.2,4.753,0.01382,-0.01553,-0.01372,-0.3022,0.02392
21.4,4.755,0.01445,-0.01441,-0.01585,-0.3008,-0.1031
21.6,4.756,0.01504,-0.01325,-0.01786,-0.2993,-0.2293
21.8,4.758,0.01556,-0.01213,-0.01964,-0.2978,-0.3549
22.0,4.76,0.01598,-0.01105,-0.02112,-0.2966,-0.4799
22.2,4.762,0.01631,-0.00996,-0.02232,-0.2959,-0.6043
22.4,4.763,0.0166,-0.008836,-0.02337,-0.296,-0.7279
22.6,4.765,0.01691,-0.007721,-0.02446,-0.2967,-0.8508
22.8,4.766,0.01729,-0.006674,-0.02574,-0.2975,-0.973
23.0,4.767,0.01775,-0.005695,-0.02719,-0.2981,-1.094
23.2,4.769,0.01825,-0.004739,-0.02873,-0.2981,-1.215
23.4,4.771,0.01876,-0.003796,-0.03032,-0.2976,-1.334
23.6,4.773,0.01929,-0.002912,-0.03193,-0.2965,-1.453
23.8,4.775,0.01981,-0.002114,-0.03345,-0.295,-1.571
24.0,4.777,0.02023,-0.001369,-0.03471,-0.2934,-1.688
24.2,4.779,0.02054,-0.0006492,-0.03561,-0.2923,-1.803
24.4,4.781,0.02076,2.109e-05,-0.03622,-0.2918,-1.918
24.6,4.783,0.02095,0.0005862,-0.03672,-0.2918,-2.032
24.8,4.784,0.02115,0.001042,-0.03718,-0.2922,-2.145
25.0,4.786,0.02134,0.001439,-0.0376,-0.2929,-2.257
25.2,4.787,0.02155,0.001798,-0.03802,-0.2937,-2.367
25.4,4.789,0.02182,0.002087,-0.03861,-0.2943,-2.477
25.6,4.79,0.0222,0.00226,-0.03946,-0.2945,-2.585
25.8,4.792,0.02262,0.002332,-0.0404,-0.294,-2.692
26.0,4.795,0.02299,0.002343,-0.04117,-0.2931,-2.798
26.2,4.797,0.02325,0.00229,-0.04163,-0.292,-2.903
26.4,4.799,0.02344,0.002139,-0.04184,-0.2909,-3.007
26.6,4.801,0.02358,0.001877,-0.04187,-0.2901,-3.109
26.8,4.803,0.02366,0.001545,-0.04166,-0.2898,-3.21
27.0,4.805,0.02364,0.001174,-0.04117,-0.2903,-3.31
27.2,4.806,0.02359,0.0007352,-0.04058,-0.2914,-3.408
27.4,4.807,0.02362,0.0001856,-0.04014,-0.2927,-3.506
27.6,4.809,0.02375,-0.0004695,-0.03996,-0.2937,-3.601
27.8,4.811,0.02394,-0.001182,-0.03991,-0.2942,-3.696
28.0,4.812,0.02411,-0.001929,-0.03982,-0.2944,-3.789
28.2,4.814,0.02428,-0.002739,-0.03968,-0.2941,-3.88
28.4,4.816,0.02446,-0.003632,-0.03955,-0.2934,-3.97
28.6,4.819,0.02461,-0.004584,-0.0393,-0.2926,-4.059
28.8,4.821,0.02464,-0.005559,-0.0387,-0.2921,-4.147
29.0,4.822,0.02452,-0.006563,-0.03767,-0.292,-4.232
29.2,4.824,0.02434,-0.007631,-0.03642,-0.2925,-4.317
29.4,4.826,0.02419,-0.00876,-0.03522,-0.2933,-4.4
29.6,4.827,0.02409,-0.009904,-0.03412,-0.2945,-4.481
29.8,4.828,0.02401,-0.01103,-0.03306,-0.2959,-4.561
30.0,4.83,0.02395,-0.01217,-0.03206,-0.2972,-4.639
30.2,4.831,0.02397,-0.01335,-0.03127,-0.2981,-4.716
30.4,4.833,0.02408,-0.01456,-0.0307,-0.2983,-4.791
30.6,4.835,0.02419,-0.01576,-0.03012,-0.2981,-4.864
30.8,4.836,0.0242,-0.01692,-0.02928,-0.2977,-4.936
31.0,4.838,0.0241,-0.01808,-0.02813,-0.2973,-5.006
31.2,4.84,0.02396,-0.01924,-0.02681,-0.2971,-5.075
31.4,4.842,0.02379,-0.02037,-0.02541,-0.2973,-5.142
31.6,4.843,0.02356,-0.02144,-0.02383,-0.2982,-5.208
31.8,4.844,0.02328,-0.02246,-0.0221,-0.2997,-5.272
32.0,4.845,0.02302,-0.02347,-0.02043,-0.3012,-5.334
32.2,4.846,0.02287,-0.02446,-0.01906,-0.3026,-5.394
32.4,4.847,0.02284,-0.02539,-0.01801,-0.3037,-5.453
32.6,4.849,0.02286,-0.02623,-0.01709,-0.3045,-5.51
32.8,4.85,0.02285,-0.02701,-0.01615,-0.3048,-5.566
33.0,4.852,0.02283,-0.02774,-0.01516,-0.3047,-5.62
33.2,4.853,0.02279,-0.02843,-0.01413,-0.3043,-5.672
33.4,4.855,0.02269,-0.02902,-0.01293,-0.3041,-5.722
33.6,4.856,0.02248,-0.02952,-0.01142,-0.3043,-5.771
33.8,4.857,0.02218,-0.02996,-0.009692,-0.3049,-5.818
34.0,4.858,0.02188,-0.03035,-0.007964,-0.3059,-5.863
34.2,4.859,0.02165,-0.03065,-0.006419,-0.3072,-5.906
34.4,4.86,0.02148,-0.03083,-0.005065,-0.3088,-5.948
34.6,4.861,0.02136,-0.03092,-0.003852,-0.3102,-5.988
34.8,4.861,0.02128,-0.03096,-0.002817,-0.3113,-6.026
35.0,4.862,0.02128,-0.03094,-0.002011,-0.3117,-6.063
35.2,4.864,0.02133,-0.03083,-0.001365,-0.3116,-6.098
35.4,4.865,0.02136,-0.03061,-0.0006806,-0.3114,-6.131
35.6,4.866,0.0213,-0.03031,0.0002056,-0.3111,-6.162
35.8,4.867,0.02116,-0.02994,0.0013,-0.3109,-6.192
36.0,4.868,0.02096,-0.02951,0.002529,-0.3111,-6.219
36.2,4.869,0.02074,-0.02897,0.003824,-0.3117,-6.246
36.4,4.869,0.0205,-0.02836,0.00512,-0.3128,-6.27
36.6,4.87,0.02029,-0.02769,0.006301,-0.3141,-6.292
36.8,4.87,0.02017,-0.02699,0.00721,-0.3153,-6.313
37.0,4.871,0.02016,-0.02622,0.007783,-0.3162,-6.332
37.2,4.871,0.02024,-0.02536,0.008089,-0.3168,-6.35
37.4,4.872,0.02034,-0.02444,0.008271,-0.3169,-6.365
37.6,4.873,0.02042,-0.0235,0.008456,-0.3166,-6.379
37.8,4.874,0.02046,-0.02253,0.008708,-0.316,-6.392
38.0,4.875,0.02045,-0.02152,0.009077,-0.3154,-6.402
38.2,4.875,0.02038,-0.02045,0.009584,-0.3152,-6.411
38.4,4.876,0.02026,-0.01936,0.01019,-0.3153,-6.418
38.6,4.876,0.02012,-0.01827,0.01083,-0.3158,-6.423
38.8,4.877,0.01999,-0.01716,0.01139,-0.3166,-6.427
39.0,4.877,0.01992,-0.01601,0.01177,-0.3175,-6.429
39.2,4.877,0.01992,-0.01486,0.01189,-0.3184,-6.429
39.4,4.877,0.02001,-0.01374,0.01171,-0.3189,-6.428
39.6,4.877,0.02019,-0.01264,0.01128,-0.3188,-6.425
39.8,4.878,0.02039,-0.01156,0.0107,-0.3184,-6.42
40.0,4.878,0.02058,-0.01046,0.01012,-0.3177,-6.413
40.2,4.879,0.02072,-0.009391,0.009643,-0.3169,-6.405
40.4,4.879,0.02079,-0.008368,0.009318,-0.3161,-6.396
40.6,4.88,0.02077,-0.007392,0.009181,-0.3155,-6.384
40.8,4.88,0.0207,-0.006445,0.009171,-0.3154,-6.371
41.0,4.88,0.02062,-0.00553,0.009132,-0.3158,-6.357
41.2,4.879,0.02062,-0.004678,0.008885,-0.3163,-6.34
41.4,4.879,0.0207,-0.003899,0.008349,-0.3168,-6.323
41.6,4.879,0.02085,-0.003175,0.007571,-0.3171,-6.303
41.8,4.879,0.02105,-0.002494,0.006618,-0.3171,-6.282
42.0,4.879,0.0213,-0.001874,0.00551,-0.3167,-6.26
42.2,4.879,0.02157,-0.001346,0.004287,-0.3158,-6.236
42.4,4.88,0.02182,-0.000911,0.003069,-0.3146,-6.21
42.6,4.88,0.022,-0.0005427,0.002018,-0.3135,-6.183
42.8,4.88,0.0221,-0.0002302,0.001181,-0.3126,-6.155
43.0,4.88,0.02213,7.681e-06,0.0004706,-0.3121,-6.125
43.2,4.88,0.02216,0.0001533,-0.0002192,-0.3118,-6.093
43.4,4.879,0.02218,0.0002156,-0.0009329,-0.3119,-6.06
43.6,4.879,0.02222,0.0002123,-0.001711,-0.3121,-6.026
43.8,4.878,0.02231,0.000136,-0.002686,-0.3124,-5.99
44.0,4.878,0.02252,-3.58e-05,-0.004002,-0.3124,-5.953
44.2,4.878,0.02283,-0.0003043,-0.005629,-0.3119,-5.914
44.4,4.878,0.02317,-0.000644,-0.007352,-0.311,-5.874
44.6,4.878,0.02345,-0.001037,-0.008948,-0.3099,-5.832
44.8,4.878,0.02365,-0.001496,-0.01036,-0.3087,-5.789
45.0,4.877,0.0238,-0.002041,-0.01163,-0.3075,-5.745
45.2,4.877,0.0239,-0.002666,-0.01276,-0.3065,-5.7
45.4,4.877,0.02393,-0.003345,-0.01371,-0.3059,-5.653
45.6,4.876,0.0239,-0.004068,-0.01454,-0.3058,-5.605
45.8,4.876,0.02391,-0.004849,-0.01546,-0.3059,-5.556
46.0,4.875,0.024,-0.005693,-0.01661,-0.306,-5.505
46.2,4.874,0.02417,-0.006582,-0.01798,-0.306,-5.453
46.4,4.874,0.02436,-0.007496,-0.01945,-0.3057,-5.4
46.6,4.874,0.02457,-0.008444,-0.02097,-0.3051,-5.346
46.8,4.873,0.0248,-0.00944,-0.02258,-0.3042,-5.291
47.0,4.873,0.02505,-0.01048,-0.02423,-0.303,-5.234
47.2,4.873,0.02524,-0.01153,-0.0257,-0.3017,-5.177
47.4,4.872,0.0253,-0.01258,-0.02682,-0.3008,-5.118
47.6,4.872,0.02525,-0.01363,-0.02763,-0.3001,-5.058
47.8,4.871,0.02516,-0.01469,-0.02832,-0.2997,-4.997
48.0,4.87,0.02509,-0.01576,-0.02903,-0.2996,-4.935
48.2,4.87,0.02503,-0.01681,-0.0298,-0.2998,-4.872
48.4,4.869,0.02501,-0.01784,-0.03065,-0.3,-4.808
48.6,4.868,0.02506,-0.01886,-0.0317,-0.3001,-4.743
