Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi,YawBrTAxp,YawBrTAyp
0.0,0.093,0.0,-0.009,0.004,-0.054,-0.003,0.01613,-5.441
0.2,0.09304,0.007057,-0.008968,-0.01689,-0.05384,-0.003056,0.002404,-4.399
0.4,0.09323,0.02565,-0.008943,-0.07227,-0.05324,-0.003257,-0.01558,-2.054
0.6,0.09353,0.04958,-0.008996,-0.1442,-0.05228,-0.003685,-0.1486,0.3738
0.8,0.09398,0.07186,-0.009074,-0.2121,-0.05089,-0.004111,-0.258,2.4
1.0,0.0946,0.08652,-0.00908,-0.2578,-0.04916,-0.004182,0.004508,4.077
1.2,0.09495,0.08944,-0.009008,-0.2688,-0.04821,-0.003963,0.3948,5.102
1.4,0.09466,0.07919,-0.008987,-0.2406,-0.04909,-0.003722,0.572,4.48
1.6,0.09366,0.05801,-0.009062,-0.1796,-0.05192,-0.003669,0.2781,2.01
1.8,0.09241,0.03186,-0.009123,-0.1028,-0.05542,-0.003664,-0.2881,-1.041
2.0,0.09168,0.008413,-0.009074,-0.03223,-0.05749,-0.003477,-0.5273,-3.235
2.2,0.09179,-0.006061,-0.00897,0.01357,-0.05715,-0.003256,-0.4258,-4.117
2.4,0.09273,-0.008336,-0.00897,0.02447,-0.05442,-0.003204,-0.2035,-4.191
2.6,0.09422,0.001772,-0.009092,-0.0007744,-0.05011,-0.003356,0.0221,-3.693
2.8,0.09573,0.02169,-0.009188,-0.05493,-0.0457,-0.003539,0.1727,-2.123
3.0,0.09679,0.04612,-0.009167,-0.1227,-0.0426,-0.003662,0.3556,0.5546
3.2,0.09694,0.06786,-0.009089,-0.1834,-0.04205,-0.003925,0.4425,3.285
3.4,0.09613,0.0801,-0.009079,-0.2172,-0.04419,-0.004322,0.2159,4.766
3.6,0.09487,0.07898,-0.009133,-0.2129,-0.04771,-0.004576,-0.08625,4.53
3.8,0.09366,0.06499,-0.009155,-0.1713,-0.05117,-0.004436,-0.2348,3.176
4.0,0.09284,0.04232,-0.009125,-0.1039,-0.0536,-0.003983,-0.1577,1.27
4.2,0.09247,0.01699,-0.009104,-0.02795,-0.05471,-0.003647,-0.01183,-1.076
4.4,0.09257,-0.004508,-0.009136,0.03761,-0.05436,-0.003585,-0.108,-3.363
4.6,0.09336,-0.01648,-0.009167,0.07611,-0.05203,-0.003642,-0.2708,-4.733
