Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,10.58,0.186,2.801,0.394,4.722,0.119
0.2,10.58,0.1862,2.794,0.3931,4.711,0.119
0.4,10.57,0.187,2.771,0.3905,4.68,0.119
0.6,10.55,0.1881,2.734,0.3863,4.636,0.119
0.8,10.54,0.1896,2.683,0.381,4.589,0.1191
1.0,10.52,0.1914,2.617,0.3749,4.55,0.1194
1.2,10.51,0.193,2.538,0.3694,4.528,0.1197
1.4,10.51,0.1938,2.446,0.3663,4.526,0.1201
1.6,10.52,0.1935,2.341,0.3661,4.542,0.1204
1.8,10.53,0.1927,2.225,0.3678,4.57,0.1207
2.0,10.54,0.1917,2.099,0.3703,4.598,0.121
2.2,10.54,0.1909,1.964,0.3726,4.618,0.1212
2.4,10.54,0.1902,1.821,0.3742,4.623,0.1213
2.6,10.54,0.1901,1.671,0.3746,4.612,0.1213
2.8,10.53,0.1904,1.515,0.3737,4.589,0.1213
3.0,10.52,0.191,1.354,0.3719,4.562,0.1213
3.2,10.51,0.1918,1.189,0.3698,4.539,0.1216
3.4,10.5,0.1925,1.02,0.3678,4.527,0.122
3.6,10.5,0.193,0.8499,0.3665,4.529,0.1226
3.8,10.51,0.1932,0.678,0.3658,4.546,0.1232
4.0,10.51,0.1934,0.5058,0.3655,4.573,0.124
4.2,10.52,0.1935,0.3343,0.3654,4.602,0.1249
4.4,10.53,0.1936,0.1643,0.3656,4.626,0.1257
4.6,10.53,0.1935,-0.00317,0.366,4.64,0.1265
4.8,10.53,0.1935,-0.1673,0.3665,4.642,0.1271
5.0,10.53,0.1935,-0.3275,0.3669,4.635,0.1276
5.2,10.52,0.1935,-0.4832,0.3675,4.622,0.1281
5.4,10.51,0.1933,-0.6339,0.3685,4.611,0.1286
5.6,10.51,0.1931,-0.7789,0.3695,4.606,0.1292
5.8,10.51,0.1931,-0.9178,0.3698,4.61,0.1301
6.0,10.51,0.1934,-1.05,0.3694,4.625,0.1311
6.2,10.52,0.1939,-1.176,0.3685,4.646,0.1322
6.4,10.53,0.1945,-1.293,0.3672,4.67,0.1334
6.6,10.53,0.1952,-1.403,0.3654,4.692,0.1347
6.8,10.54,0.196,-1.504,0.3638,4.707,0.136
7.0,10.54,0.1965,-1.597,0.3629,4.714,0.137
7.2,10.54,0.1966,-1.68,0.3632,4.713,0.1379
7.4,10.53,0.1963,-1.754,0.3648,4.706,0.1386
7.6,10.53,0.1957,-1.819,0.3672,4.698,0.1393
7.8,10.53,0.195,-1.874,0.3699,4.693,0.14
8.0,10.53,0.1945,-1.919,0.3722,4.694,0.1408
8.2,10.53,0.1943,-1.955,0.3733,4.702,0.1418
8.4,10.53,0.1947,-1.98,0.373,4.715,0.143
8.6,10.54,0.1955,-1.996,0.3712,4.731,0.1443
8.8,10.54,0.1968,-2.002,0.3683,4.745,0.1458
9.0,10.55,0.1981,-1.997,0.3651,4.756,0.1472
9.2,10.55,0.1992,-1.982,0.3628,4.76,0.1484
9.4,10.55,0.1996,-1.957,0.3622,4.758,0.1494
9.6,10.54,0.1994,-1.923,0.3635,4.752,0.1502
9.8,10.54,0.1987,-1.879,0.3664,4.743,0.1508
10.0,10.54,0.1977,-1.826,0.3703,4.736,0.1513
10.2,10.54,0.1966,-1.764,0.3741,4.732,0.1519
10.4,10.54,0.196,-1.694,0.3769,4.733,0.1526
10.6,10.54,0.196,-1.616,0.3779,4.738,0.1534
10.8,10.54,0.1967,-1.531,0.3767,4.745,0.1544
11.0,10.54,0.1981,-1.439,0.3739,4.753,0.1556
11.2,10.55,0.1996,-1.342,0.3704,4.757,0.1567
11.4,10.55,0.201,-1.238,0.3674,4.757,0.1578
11.6,10.54,0.2018,-1.13,0.3659,4.752,0.1586
11.8,10.54,0.202,-1.018,0.3664,4.744,0.1591
12.0,10.54,0.2014,-0.9029,0.3692,4.734,0.1594
12.2,10.54,0.2002,-0.7848,0.3737,4.724,0.1594
12.4,10.54,0.1988,-0.6647,0.3788,4.718,0.1595
12.6,10.53,0.1977,-0.5433,0.3831,4.715,0.1595
12.8,10.54,0.1971,-0.4213,0.3858,4.715,0.1597
13.0,10.54,0.1973,-0.2994,0.3863,4.716,0.1601
13.2,10.54,0.1982,-0.178,0.3847,4.719,0.1606
13.4,10.54,0.1996,-0.05771,0.3816,4.719,0.1612
13.6,10.54,0.2012,0.0608,0.3783,4.717,0.1617
13.8,10.54,0.2023,0.177,0.376,4.712,0.162
14.0,10.54,0.2028,0.2904,0.3757,4.704,0.1621
14.2,10.53,0.2024,0.4005,0.3777,4.695,0.162
14.4,10.53,0.2013,0.5066,0.382,4.687,0.1616
14.6,10.53,0.1998,0.6084,0.3876,4.681,0.1611
14.8,10.53,0.1982,0.7054,0.3932,4.677,0.1605
15.0,10.53,0.1972,0.7973,0.3975,4.676,0.1601
15.2,10.53,0.1968,0.8836,0.3998,4.678,0.1598
15.4,10.53,0.1973,0.964,0.3997,4.679,0.1596
15.6,10.53,0.1984,1.038,0.3977,4.68,0.1596
15.8,10.53,0.1999,1.106,0.3946,4.68,0.1597
16.0,10.53,0.2012,1.168,0.3918,4.678,0.1596
16.2,10.53,0.202,1.222,0.3906,4.674,0.1594
16.4,10.53,0.2021,1.27,0.3917,4.67,0.159
16.6,10.53,0.2013,1.31,0.395,4.666,0.1584
16.8,10.53,0.1999,1.342,0.4002,4.664,0.1576
17.0,10.53,0.1983,1.368,0.4061,4.664,0.1567
17.2,10.53,0.1969,1.385,0.4116,4.666,0.1558
17.4,10.53,0.196,1.395,0.4153,4.67,0.1551
17.6,10.53,0.196,1.397,0.4168,4.676,0.1546
17.8,10.53,0.1967,1.392,0.416,4.68,0.1543
18.0,10.53,0.198,1.378,0.4136,4.684,0.154
18.2,10.53,0.1994,1.358,0.4107,4.687,0.1539
18.4,10.53,0.2006,1.33,0.4085,4.688,0.1536
18.6,10.53,0.2011,1.294,0.4081,4.689,0.1532
18.8,10.53,0.2008,1.252,0.41,4.69,0.1525
19.0,10.54,0.1998,1.203,0.4139,4.693,0.1517
19.2,10.54,0.1984,1.147,0.4191,4.697,0.1509
