Time,PtfmTDxi,PtfmTDyi,PtfmTDzi,PtfmRDxi,PtfmRDyi,PtfmRDzi
0.0,5.639,9.959,0.17,0.28,1.938,-0.807
0.2,5.638,9.958,0.1696,0.2798,1.934,-0.8069
0.4,5.634,9.957,0.1681,0.2789,1.922,-0.8067
0.6,5.629,9.954,0.1655,0.2778,1.905,-0.8065
0.8,5.624,9.951,0.1619,0.2768,1.889,-0.8064
1.0,5.621,9.946,0.1573,0.2766,1.877,-0.8062
1.2,5.62,9.939,0.1516,0.2782,1.872,-0.8057
1.4,5.622,9.93,0.145,0.2822,1.873,-0.8052
1.6,5.626,9.92,0.1374,0.2882,1.88,-0.8049
1.8,5.63,9.908,0.129,0.2949,1.889,-0.8045
2.0,5.635,9.896,0.1197,0.3017,1.897,-0.8043
2.2,5.638,9.882,0.1096,0.3089,1.901,-0.804
2.4,5.639,9.868,0.09892,0.3164,1.899,-0.8036
2.6,5.638,9.853,0.08763,0.3239,1.892,-0.803
2.8,5.636,9.836,0.07573,0.3313,1.882,-0.8025
3.0,5.634,9.819,0.06323,0.3392,1.871,-0.8021
3.2,5.634,9.8,0.05026,0.3483,1.863,-0.8017
3.4,5.635,9.78,0.03693,0.3583,1.859,-0.801
3.6,5.638,9.759,0.02326,0.3686,1.861,-0.8003
3.8,5.642,9.736,0.009314,0.3792,1.866,-0.7995
4.0,5.647,9.713,-0.004797,0.3901,1.874,-0.7988
4.2,5.652,9.689,-0.019,0.4015,1.88,-0.7981
4.4,5.656,9.663,-0.03325,0.4131,1.885,-0.7973
4.6,5.659,9.636,-0.04744,0.425,1.886,-0.7965
4.8,5.661,9.608,-0.06143,0.4371,1.882,-0.7956
5.0,5.662,9.579,-0.0752,0.4498,1.876,-0.7948
5.2,5.663,9.549,-0.08876,0.4635,1.869,-0.794
5.4,5.665,9.517,-0.102,0.4779,1.864,-0.7932
5.6,5.668,9.485,-0.1149,0.4923,1.862,-0.7923
5.8,5.672,9.451,-0.1272,0.5063,1.864,-0.7912
6.0,5.678,9.417,-0.1391,0.5199,1.869,-0.79
6.2,5.683,9.381,-0.1503,0.5333,1.875,-0.7888
6.4,5.689,9.345,-0.1609,0.5462,1.881,-0.7876
6.6,5.695,9.308,-0.1707,0.5584,1.885,-0.7864
6.8,5.7,9.27,-0.1799,0.5703,1.887,-0.7851
